filename,speaker,title,date,url,,
dcrau001048001,"Medlin, Charles McCall","""Optimism - Our Only Hope""",2/7/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001048001.mp3,,
dcrau001048002,"Medlin, Charles McCall","""Optimism - Our Only Hope""",2/7/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001048002.mp3,,
dcrau001049001,"Young, Robert T.","""Reach Out and Touch""",2/14/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001049001.mp3,,
dcrau001049002,"Young, Robert T.","""Reach Out and Touch""",2/14/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001049002.mp3,,
dcrau001050001,"Craddock, Fred","""We Do Not Know How To Pray""",2/21/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001050001.mp3,,
dcrau001050002,"Craddock, Fred","""We Do Not Know How To Pray""",2/21/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001050002.mp3,,
dcrau001051001,"Jones, Jameson",Sermon Untitled,2/28/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001051001.mp3,,
dcrau001051002,"Lincoln, C. Eric","""For God and Country""",2/28/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001051002.mp3,,
dcrau001052001,"Young, Robert T.","""Father, Forgive ThemÄ""",3/7/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001052001.mp3,,
dcrau001052002,"Young, Robert T.","""Father, Forgive ThemÄ""",3/7/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001052002.mp3,,
dcrau001053001,"Kammerer, Charlene P.","""Tough Love""",3/14/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001053001.mp3,,
dcrau001053002,"Kammerer, Charlene P.","""Tough Love""",3/14/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001053002.mp3,,
dcrau001054001,"Henry, Carl F. H.","""On Being beside Yourself""",3/21/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001054001.mp3,,
dcrau001054002,"Henry, Carl F. H.","""On Being beside Yourself""",3/21/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001054002.mp3,,
dcrau001055001,"Kort, Phyllis Hoekstra","""By the Roadside: A Little Sermon""",3/28/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001055001.mp3,,
dcrau001055002,"Kort, Phyllis Hoekstra","""By the Roadside: A Little Sermon""",3/28/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001055002.mp3,,
dcrau001056001,"Armstrong, James","""In a Dark Time (Arms Race)""",3/31/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001056001.mp3,,
dcrau001056002,"Armstrong, James","""In a Dark Time (Arms Race)""",3/31/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001056002.mp3,,
dcrau001057001,"Buechner, Carl Frederick","""The Sacred Journey: Once Before Time""",4/4/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001057001.mp3,,
dcrau001057002,"Buechner, Carl Frederick","""The Sacred Journey: Once Before Time""",4/4/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001057002.mp3,,
dcrau001058001,"Buechner, Carl Frederick","""The Sacred Journey: Once Before Time""",4/5/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001058001.mp3,,
dcrau001058002,"Buechner, Carl Frederick","""The Sacred Journey: Once Before Time""",4/5/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001058002.mp3,,
dcrau001059001,"Buechner, Carl Frederick","""The Sacred Journey: Once Before Time""",4/6/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001059001.mp3,,
dcrau001059002,"Buechner, Carl Frederick","""The Sacred Journey: Once Before Time""",4/6/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001059002.mp3,,
dcrau001060001,[unknown],Maundy Thursday Service,4/8/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001060001.mp3,,
dcrau001060002,[unknown],Maundy Thursday Service,4/8/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001060002.mp3,,
dcrau001061001,[unknown],Good Friday Service,4/9/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001061001.mp3,,
dcrau001061002,[unknown],Good Friday Service,4/9/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001061002.mp3,,
dcrau001062001,"Young, Robert T.","""Face to Face"" Easter Service",4/11/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001062001.mp3,,
dcrau001062002,"Young, Robert T.","""Face to Face"" Easter Service",4/11/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001062002.mp3,,
dcrau001063001,"Cox, James W.","""After Easter, What?""",4/18/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001063001.mp3,,
dcrau001063002,"Cox, James W.","""After Easter, What?""",4/18/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001063002.mp3,,
dcrau001064001,"Kammerer, Charlene P.","""Reliable Witnesses""",4/25/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001064001.mp3,,
dcrau001064002,"Kammerer, Charlene P.","""Reliable Witnesses""",4/25/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001064002.mp3,,
dcrau001065001,"Young, Robert T.","""Youth Wants to Know!""",5/2/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001065001.mp3,,
dcrau001065002,"Young, Robert T.","""Youth Wants to Know!""",5/2/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001065002.mp3,,
dcrau001068001,"Read, David H. C.","""The Way Ahead: ""Prison House"" or ""An Open Place?"""" Baccalaureate Service",5/8/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001068001.mp3,,
dcrau001068002,"Read, David H. C.","""The Way Ahead: ""Prison House"" or ""An Open Place?"""" Baccalaureate Service",5/8/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001068002.mp3,,
dcrau001069001,"Read, David H. C.","""The Way Ahead: ""Prison House"" or ""An Open Place?"""" Baccalaureate Service 8:30 am",5/9/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001069001.mp3,,
dcrau001069002,"Read, David H. C.","""The Way Ahead: ""Prison House"" or ""An Open Place?"""" Baccalaureate Service 8:30 am",5/9/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001069002.mp3,,
dcrau001070001,"Read, David H. C.","""The Way Ahead: ""Prison House"" or ""An Open Place?"""" Baccalaureate Service 10:30 am",5/9/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001070001.mp3,,
dcrau001070002,"Read, David H. C.","""The Way Ahead: ""Prison House"" or ""An Open Place?"""" Baccalaureate Service 10:30 am",5/9/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001070002.mp3,,
dcrau001071001,"Kimbrough, Jr., S. T.","""Who Touched Me?""",5/16/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001071001.mp3,,
dcrau001071002,"Kimbrough, Jr., S. T.","""Who Touched Me?""",5/16/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001071002.mp3,,
dcrau001072001,"Wilson, Gerald L.","""Conscience, Calculation, or Cold Feet?""",5/23/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001072001.mp3,,
dcrau001072002,"Wilson, Gerald L.","""Conscience, Calculation, or Cold Feet?""",5/23/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001072002.mp3,,
dcrau001073001,"Grega, Darlene E.","""Dry Bones, Stand Up and Live!"" Pentecost Sunday Service",5/30/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001073001.mp3,,
dcrau001073002,"Grega, Darlene E.","""Dry Bones, Stand Up and Live!"" Pentecost Sunday Service",5/30/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001073002.mp3,,
dcrau001074001,"Young, Robert T.","""How Can One Be Born Again?""",6/6/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001074001.mp3,,
dcrau001074002,"Young, Robert T.","""How Can One Be Born Again?""",6/6/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001074002.mp3,,
dcrau001076001,"Lee, John David","""The Faith of an Historian"" Alumni Sunday",6/13/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001076001.mp3,,
dcrau001076002,"Lee, John David","""The Faith of an Historian"" Alumni Sunday",6/13/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001076002.mp3,,
dcrau001077001,"Kammerer, Charlene P.","""What's Happening to the Family?""",6/20/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001077001.mp3,,
dcrau001077002,"Kammerer, Charlene P.","""What's Happening to the Family?""",6/20/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001077002.mp3,,
dcrau001078001,"Easley, Jr. , William W.","""What Does It Mean to Be Saved?""",6/27/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001078001.mp3,,
dcrau001078002,"Easley, Jr. , William W.","""What Does It Mean to Be Saved?""",6/27/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001078002.mp3,,
dcrau001079001,"Campbell, Dennis M.",Sermon Untitled ,7/4/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001079001.mp3,,
dcrau001079002,"Wright, Juanita Bass","""Called to Be Prophets""",7/4/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001079002.mp3,,
dcrau001080001,"Young, Robert T.","""When Bad Things Happen to Good People""",7/11/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001080001.mp3,,
dcrau001080002,"Young, Robert T.","""When Bad Things Happen to Good People""",7/11/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001080002.mp3,,
dcrau001081001,"Kammerer, Charlene P.","""Like Sheep without a Shepherd""",7/18/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001081001.mp3,,
dcrau001081002,"Kammerer, Charlene P.","""Like Sheep without a Shepherd""",7/18/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001081002.mp3,,
dcrau001084001,"Hamerton-Kelly, Robert G.","""Commandments and Questions""",7/25/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001084001.mp3,,
dcrau001084002,"Hamerton-Kelly, Robert G.","""Commandments and Questions""",7/25/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001084002.mp3,,
dcrau001085001,"Weadon, David",David Weadon and children's choir from N. C. Governor's School,7/25/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001085001.mp3,,
dcrau001085002,"Weadon, David",David Weadon and children's choir from N. C. Governor's School,7/25/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001085002.mp3,,
dcrau001086001,"Smith, R. Stewart ","""Dedicated to What?""",8/1/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001086001.mp3,,
dcrau001086002,"Smith, R. Stewart ","""Dedicated to What?""",8/1/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001086002.mp3,,
dcrau001087001,"Tanner, Jr., William Douglas","""The Lord's Requisites and the Spirit's Course""",8/8/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001087001.mp3,,
dcrau001087002,"Tanner, Jr., William Douglas","""The Lord's Requisites and the Spirit's Course""",8/8/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001087002.mp3,,
dcrau001088001,"Hale, Cynthia Lynette","""Love Is Something You Do""",8/15/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001088001.mp3,,
